0,329968
1,346953
2,348066
3,370824
4,390595
5,416867
6,438743
7,451249
8,459468
9,455480
10,481625
11,493302
12,504865
13,513178
14,536032
15,517340
16,516015
17,507614
18,511311
19,510526
20,499051
21,500702
22,508918
23,501369
24,492950
25,504965
26,503929
27,510027
28,518897
29,535654
30,550920
31,549577
32,557026
33,565983
34,575973
35,582479
36,595609
37,614539
38,636381
39,656590
40,691759
41,719685
42,752774
43,771629
44,803474
45,812657
46,825323
47,817976
48,810687
49,788721
50,784338
51,770121
52,758169
53,747933
54,739547
55,742333
56,722010
57,714154
58,721119
59,683482
60,658162
61,640309
62,639470
63,618932
64,601261
65,583381
66,540238
67,522117
68,494675
69,491240
70,484348
71,450128
72,433769
73,444919
74,458095
75,412103
76,386918
77,394960
78,367056
79,351975
80,294214
81,262571
82,308468
83,194324
84,209200
85,220461
86,223812
87,200095
88,179452
89,161976
90,140983
91,113705
92,95452
93,73321
94,57958
95,41723
96,31332
97,21992
98,15541
99,10614
100,6303
101,3675
102,2183
103,1121
104,620
105,758

